Video_Path,Manipulation_Type,Method,Is_Fake_Label,Predicted_Video_Emotion,Emotion_Similarity_Score
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\men\id00816\00118_id00350_wavtolip.mp4,FakeVideo-RealAudio,wav2lip,1,Anger,0.088
FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (European)\women\id00374\00311_fake.mp4,RealVideo-FakeAudio,rtvc,1,Surprise,0.4036
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\men\id03028\00466_id05479_wavtolip.mp4,FakeVideo-RealAudio,wav2lip,1,Sadness,0.7992
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\women\id09116\00026_id00582_wavtolip.mp4,FakeVideo-RealAudio,wav2lip,1,Disgust,0.4823
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\women\id04490\00054_id00080_wavtolip.mp4,FakeVideo-RealAudio,wav2lip,1,Neutral,0.7333
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\women\id08397\00167_id04701_7mnc8w6jRlM.mp4,FakeVideo-RealAudio,fsgan,1,Fear,0.5142
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\women\id00325\00015_id03649_389qfFqUddI.mp4,FakeVideo-RealAudio,fsgan,1,Surprise,0.3757
FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\women\id05106\00078_id05235_wavtolip.mp4,FakeVideo-FakeAudio,wav2lip,1,Fear,0.1116
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\women\id09174\00015_id07799_gO6nidmxrJU.mp4,FakeVideo-RealAudio,fsgan,1,Neutral,0.3126
FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\men\id01597\00005_id01170_7eoTTk4xyNo.mp4,FakeVideo-RealAudio,fsgan,1,Surprise,0.3274
FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\men\id01207\00320_id01995_YUR9wTypwIo.mp4,FakeVideo-RealAudio,fsgan,1,Happiness,0.6316
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id01126\00040_id00990_wavtolip.mp4,FakeVideo-RealAudio,wav2lip,1,Neutral,0.1402
FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (East)\women\id05576\00368_id06061_wavtolip.mp4,FakeVideo-FakeAudio,wav2lip,1,Disgust,0.3025
FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\women\id05434\00052_id04583_wavtolip.mp4,FakeVideo-FakeAudio,wav2lip,1,Sadness,0.7608
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\men\id07200\00045_id08314_wavtolip.mp4,FakeVideo-RealAudio,wav2lip,1,Neutral,0.4761
FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\women\id00848\00028_id02466_VOgaA7O5yWY_faceswap_id00462_wavtolip.mp4,FakeVideo-FakeAudio,faceswap-wav2lip,1,Disgust,0.3033
FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\men\id04219\00130_id00018_sap-FjURHlc_id00062_wavtolip.mp4,FakeVideo-FakeAudio,fsgan-wav2lip,1,Fear,0.5038
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\men\id06470\00052_id00056_GUh0mNVw0U8.mp4,FakeVideo-RealAudio,fsgan,1,Neutral,0.2118
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\men\id07179\00206_id03945_wavtolip.mp4,FakeVideo-RealAudio,wav2lip,1,Anger,0.2273
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id00963\00028_id00225_wavtolip.mp4,FakeVideo-RealAudio,wav2lip,1,Anger,0.3286
